uk;gh
"LCAT";0.0879872569066451
"LDH_L";0.0879707275680391
"LGTHL";0.0879707275680391
"LPCAT";0.0879707275680391
"LPD5";0.0879707275680391
"LTAE_2";0.0879707275680391
"MAAI";0.0879707275680391
"MAGlipase";0.0879707275680391
"MDH";0.0879707275680391
"ME2";0.087987256906645
"MGH";0.087987256906645
"MGK";0.087987256906645
"MOO";0.0879707275680273
"MSD";0.087987256906645
"NADK";0.087987256906645
"NADTRHD";0.087987256906645
"NO";0.087987256906645
"NTAK";0.0879707275680392
"NVD";0.087987256906645
"O2_t";0.0879707275680392
"O2_tm";0
"OAT";0.087987256906645
"OA_1";0.087987256906645
"OA_2";0.087987256906645
"OCT";0.087987256906645
"ODCase";0.087987256906645
"OICD[1]";0.087987256906645
"OICD[2]";0.087987256906645
"OPRTase";0.087987256906645
"OXIRE";0.087987256906645
"P5CR";0.087987256906645
"PAH";0.087987256906645
"PAP";0.0624818867545475
"PCB";0.087987256906645
"PDH";0.087987256906645
"PEPCK";0.0879872569066469
"PFK";0.087987256906645
"PGI";0
"PGK";0.0879872569066469
"PGL";0.0879707275680391
"PGM";0.087987256906645
"PGMT";0.087987256906645
"PIK";0
"PIPK";0.087987256906645
"PIPLC";0.087987256906645
"PLA2";0.087987256906645
"PLC";0.0879707275680391
"PNP";0.0879707275680391
"PPM";0
"PPPH";0.087987256906645
"PRPPS";0.0879872569066469
"PTHS";0
"PYK";0.00240787582895712
"PhnN";0
"R1Pk";0
"RBK";0.00240787582895712
"RFK";0.0879872569066469
"RIBFLV_t";0.087987256906645
"RPE";0.087987256906645
"RPI";0.087987256906645
"SGA";0.0879872569066469
"SGH";0.087987256906645
"SPA";0.087987256906645
"SR";0.087987256906645
"SSALY";0.087987256906645
"STE";0.087987256906645
"SUCD1m";0.087987256906645
"SUCOAS1m";0.087987256906645
"T3DH";0.0879872569067781
"T6PP";0.00234414176455599
"TALA";0.087987256906645
"TGL";0.087987256906645
"TKT1";0.027549714203368
"TKT2";0
"TPI";0
"TREH";0
"TYRAT_1";0
"TYRAT_2";0
"Tre_t";0.087987256906645
"UDPG6PTRA";0.087987256906645
"UDPGTRA";0.087987256906645
"UDPk";0
"UFCOR";0
"UMPk";0.0616856945499165
"URDk";0
"a_t";0.087987256906645
"ac_t";0.087987256906645
"accoa_t";0.0879872569066469
"accoa_tm";0.087987256906645
"acp_t";0.087987256906645
"adp_tm";0.087987256906645
"agc_t";0.0879872569066469
"akg_tm";0.087987256906645
"ala_t";0.087987256906645
"arg_t";0.087987256906645
"asn_t";0.0879707275680391
"asp_t";0.087987256906645
"asuccin_t";0
"atp_tm";0.087987256906645
"choline_t";0.0879872569066469
"clr_t";0.0879707275680391
"cys_t";0.087987256906645
"dextrin_t";0.0879872569066469
"fadh2_t";0.087987256906645
"fic3_t";0.087987256906645
"fic3_tm";0.087987256906645
"foc3_t";0.0879872569066469
"foc3_tm";0.087987256906645
"fum_tm";0.087987256906645
"g5sa_TO_p5c";0.087987256906645
"g_t";0.0879709932025985
"gam6p_t";0.0879872569066469
"gdl_t";0.087987256906645
"glc_t";0.087987256906645
"gln-L_t";0.087987256906645
"glu-L_t";0.087987256906645
"glucu_t";0.0879872569066469
"gly_t";0.087987256906645
"hb_t";0.087987256906645
"his_t";0.0879707275680391
"i_t";0.087987256906645
"ile_t";0.0624818867545475
"ins4p_t";0.087987256906645
"ins_t";0.087987256906645
"lald__D_t";0.00240787582895712
"leu_t";0.087987256906645
"lpc_t";0.087987256906645
"lys_t";0.087987256906645
"mal_tm";0.087987256906645
"malcoa_t";0.0624818867545475
"maldex_t";0.0624818867545475
"met_t";0.0624818867545475
"mmet_t";0.0624818867545475
"nad_tm";0.087987256906645
"nadh_tm";0.087987256906645
"nadp_tm";0.087987256906645
"nadph_tm";0.0879872569066469
"no_t";0.0879872569066469
"phe_t";0.0624651440677502
"pi_tm";0.087987256906645
"ppi_tm";0.0879872569066469
"pro_t";0.087987256906645
"pyr_tm";0.087987256906645
"q_tm";0.0879872569066469
"qh2_tm";0.087987256906645
"r1p_t";0.087987256906645
"rib-D_t";0.0879872569066469
"ser_t";0.087987256906645
"succ_tm";0
"succoa_tm";0.0879872569066469
"sucr_t";0.087987256906645
"thr_t";0.087987256906645
"trp_t";0.0624818867545475
"tyr_t";0.0624818867545475
"urd_t";0.0624818867545475
"urea_t";0.0624818867545475
"WT";0.087987256906645
