uk;gh
"INSBP";0.0879759278922503
"INSP";0.0879759278922503
"INSTP";0.0879759278922503
"IP3P";0.0879759278922503
"KBLc";0.0879759278922546
"L-args_t";0.0879759278922546
"L-cit_t";0.0879759278922546
"LALDD2";0.0879759278922547
"LCAT";0.0879759278922547
"LDH_L";0.0879593985536367
"LGTHL";0.0879593985536367
"LPCAT";0.0879593985536367
"LPD5";0.0879593985536367
"LTAE_2";0.0879593985536367
"MAAI";0.0879593985536367
"MAGlipase";0.0879593985536367
"MDH";0.0879593985536367
"ME2";0.0879759278922546
"MGH";0.0879759278922546
"MGK";0.0879759278922546
"MOO";0.0879593985536364
"MSD";0.0879759278922546
"NADK";0.0879759278922546
"NADTRHD";0.0879759278922546
"NO";0.0879759278922547
"NTAK";0.087959398553628
"NVD";0.0879759278922546
"O2_t";0.087959398553628
"O2_tm";0
"OAT";0.0879759278922503
"OA_1";0.0879759278922546
"OA_2";0.0879759278922546
"OCT";0.0879759278922546
"ODCase";0.0879759278922503
"OICD[1]";0.0879759278922503
"OICD[2]";0.0879759278922546
"OPRTase";0.0879759278922546
"OXIRE";0.0879759278922546
"P5CR";0.0879759278922546
"PAH";0.0879759278922546
"PAP";0.0624704115138236
"PCB";0.0879759278922546
"PDH";0.0879759278922546
"PEPCK";0.0879759278922503
"PFK";0.0879759278922546
"PGI";0
"PGK";0.0879759278922546
"PGL";0.0879593985536367
"PGM";0.0879759278922546
"PGMT";0.0879759278922546
"PIK";0
"PIPK";0.0879759278922546
"PIPLC";0.0879759278922546
"PLA2";0.0879759278922546
"PLC";0.0879593985536367
"PNP";0.0879593985536367
"PPM";0
"PPPH";0.0879759278922546
"PRPPS";0.0879759278922546
"PTHS";0
"PYK";0.00126365858076024
"PhnN";0
"R1Pk";0
"RBK";0.00126365858076024
"RFK";0.0879759278922546
"RIBFLV_t";0.0879759278922546
"RPE";0.0879759278922504
"RPI";0.0879759278922546
"SGA";0.0879759278922546
"SGH";0.0879759278922546
"SPA";0.0879759278922546
"SR";0.0879759278922546
"SSALY";0.0879759278922546
"STE";0.0879759278922546
"SUCD1m";0.0879759278922546
"SUCOAS1m";0.0879759278922546
"T3DH";0.0879759278922546
"T6PP";0.00234414176455599
"TALA";0.0879759278922546
"TGL";0.0879759278922546
"TKT1";0.0275394482947186
"TKT2";0
"TPI";0
"TREH";0
"TYRAT_1";0
"TYRAT_2";0
"Tre_t";0.0879759278922546
"UDPG6PTRA";0.0879759278922546
"UDPGTRA";0.0879759278922546
"UDPk";0
"UFCOR";0
"UMPk";0.0616743655355261
"URDk";0
"a_t";0.0879759278922546
"ac_t";0.0879759278922546
"accoa_t";0.0879759278922546
"accoa_tm";0.0879759278922546
"acp_t";0.0879759278922546
"adp_tm";0.0879759278922546
"agc_t";0.0879759278922546
"akg_tm";0.0879759278922503
"ala_t";0.0879759278922546
"arg_t";0.0879759278922546
"asn_t";0.0879593985536367
"asp_t";0.0879759278922649
"asuccin_t";0
"atp_tm";0.0879759278922546
"choline_t";0.0879759278922546
"clr_t";0.0879593985536367
"cys_t";0.0879759278922546
"dextrin_t";0.0879759278922546
"fadh2_t";0.0879759278922546
"fic3_t";0.0879759278922546
"fic3_tm";0.0879759278922546
"foc3_t";0.0879759278922547
"foc3_tm";0.0879759278922546
"fum_tm";0.0879759278922546
"g5sa_TO_p5c";0.0879759278922546
"g_t";0.0879655999358416
"gam6p_t";0.0879759278922503
"gdl_t";0.0879759278922546
"glc_t";0.0879759278922546
"gln-L_t";0.0879759278922546
"glu-L_t";0.0879759278922546
"glucu_t";0.0879759278922546
"gly_t";0.0879759278922546
"hb_t";0.0879759278922546
"his_t";0.0879593985536367
"i_t";0.0879759278922546
"ile_t";0.0624704115139373
"ins4p_t";0.0879759278922546
"ins_t";0.0879759278922546
"lald__D_t";0.00126365858076024
"leu_t";0.0879759278922504
"lpc_t";0.0879759278922546
"lys_t";0.0879759278922546
"mal_tm";0.0879759278922546
"malcoa_t";0.0624704115138236
"maldex_t";0.0624704115138236
"met_t";0.0624704115138236
"mmet_t";0.0624704115138236
"nad_tm";0.0879759278922503
"nadh_tm";0.0879759278922559
"nadp_tm";0.087975927892257
"nadph_tm";0.0879759278922546
"no_t";0.0879759278922546
"phe_t";0.0624536688270285
"pi_tm";0.0879759278922503
"ppi_tm";0.0879759278922503
"pro_t";0.0879759278922546
"pyr_tm";0.0879759278922546
"q_tm";0.0879759278922503
"qh2_tm";0.0879759278922546
"r1p_t";0.0879759278922546
"rib-D_t";0.0879759278922546
"ser_t";0.0879759278922503
"succ_tm";0
"succoa_tm";0.0879759278922546
"sucr_t";0.0879759278922546
"thr_t";0.0879759278922546
"trp_t";0.0624704115138236
"tyr_t";0.0624704115138236
"urd_t";0.0624704115138236
"urea_t";0.0624704115138236
"WT";0.0879759278922546
