uk;V2_1;V2_2;V2_3;V2_4;V2_5;V2_6;V2_7;V2_8;V2_9;V2_10;V2_11;V2_12;V2_13;V2_14;V2_15;V2_16;V2_17;V2_18;V2_19;V2_20;V2_21
"mets";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"2og_t";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880491;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"2os_t";0.0627530132049042;0.0627507422880999;0.0627507422881;0.0627507422880999;0.0627507422880999;0.0627507422880999;0.0664219418188043;0.0699848201113963;0.0736581375043994;0.0773314548974027;0.0810047722904056;0.0846780896834088;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"4a-hthbp_t";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"7dclr_t";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"AACCOAT";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"AAT_1";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"AAT_2";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"AAT_3";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ABTA";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACACDL";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACACT1r";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACADM";0.0627530132049042;0.0627507422880999;0.0627507422881;0.0627507422880999;0.0627507422880999;0.0627507422880999;0.0664219418188043;0.0699848201113963;0.0736581375043994;0.0773314548974027;0.0810047722904056;0.0846780896834088;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACAOR";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACCOAL";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACONTa";0.0627530132049042;0.0627507422880999;0.0627507422881;0.0627507422880999;0.0627507422880999;0.0627507422880999;0.0664219418188043;0.0699848201113963;0.0736581375043994;0.0773314548974027;0.0810047722904056;0.0846780896834088;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACONTb";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880491;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ACPAT";0.0648546621635331;0.0692301909125215;0.0744265555295998;0.079622920146678;0.0848192847637562;0.0900156493808345;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127
"ACS3";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ADPase";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ADSLR";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ADSS";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
