uk;V2_1;V2_2;V2_3;V2_4;V2_5;V2_6;V2_7;V2_8;V2_9;V2_10;V2_11;V2_12;V2_13;V2_14;V2_15;V2_16;V2_17;V2_18;V2_19;V2_20;V2_21
"mets";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"2og_t";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288880936;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"2os_t";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288880935;0.0888231490390819;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"4a-hthbp_t";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288880935;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"7dclr_t";0.0633285679492565;0.0698206173453979;0.0763160731167576;0.0828115288880936;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"AACCOAT";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288881081;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"AAT_1";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288880935;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"AAT_2";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288880936;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"AAT_3";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288881081;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"ABTA";0.0633285679492565;0.0698206173453979;0.0763160731167457;0.0828115288880936;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"ACACDL";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288880936;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
"ACACT1r";0.0633285679492565;0.0698206173453979;0.0763160731167608;0.0828115288880936;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826;0.0888231490390826
