dwlist
"CG10320"
"CG10924"
"CG10932"
"CG11284"
"CG11876"
"CG11876"
"CG12203"
"CG12398"
"CG12400"
"CG14476"
"CG14482"
"CG15093"
"CG1516"
"CG1544"
"CG1746"
"CG1970"
"CG31673"
"CG3192"
"CG3214"
"CG3321"
"CG3560"
"CG3621"
"CG3731"
"CG4169"
"CG5177"
"CG5548"
"CG5703"
"CG6453"
"CG6463"
"CG7430"
"CG7685"
"CG7712"
"CG7772"
"CG8036"
"CG8080"
"CG8680"
"CG9306"
"CG9603"
"CG9629"
