uplist
"CG13492"
"CG14476"
"CG2246"
"CG31075"
"CG3560"
"CG3621"
"CG5548"
"CG6453"
"CG6463"
"CG6650"
"CG6767"
"CG7712"
"CG7772"
"CG8525"
"CG9149"
"CG9603"
