dwlist
"CG10924"
"CG11284"
"CG11876"
"CG12398"
"CG1516"
"CG1544"
"CG1707"
"CG17333"
"CG1970"
"CG31075"
"CG31673"
"CG3214"
"CG3731"
"CG5177"
"CG7430"
"CG7685"
"CG8036"
"CG8080"
"CG9306"
"CG9629"
