Var1;Var2
"AGA";0.0216443098020136
"PGMT";-0.0216443098020136
"SGH";0.0356451543641469
"MGH";0
"T6PP";0
"TREH";0
"UDPG6PTRA";0
"STE";0
"HMGCOAS";0
"HMGCOAL";0
"HBD";0
"ASP-LtoD";0
"ala_t";0
"arg_t";0.00638236531892744
"asn_t";0.0078219082816986
"asp_t";0.00809454511795593
"cys_t";0.00470903075176921
"gln-L_t";-0.0249897348068089
"glu-L_t";0
"gly_t";-0.449915629428801
"his_t";0.00345847164498991
"ile_t";0.00760025507406681
"leu_t";0.0137551577795421
"lys_t";0.00898482866784889
"met_t";0.00343953515300655
"phe_t";0.00419509321920941
"pro_t";0.0124717524984135
"ser_t";-0.0404578715558728
"thr_t";0.480894799999987
"trp_t";0.00107027875378662
"tyr_t";0.20507447
"val_t";0.0106639405460101
"glucu_t";0
"2og_t";-0.0394851544303947
"2os_t";0
"4a-hthbp_t";0
"7dclr_t";0
"a_t";0
"ac_t";0
"acp_t";0
"agc_t";0
"asuccin_t";-0.0880568358845721
"RIBFLV_t";0.00012888
"choline_t";0
"clr_t";0.000287037621660602
"CO2_t";-0.542751763173897
"dextrin_t";0
"fadh2_t";-0.00012888000003386
"fic3_t";0
"foc3_t";0
"gam6p_t";-0.00229408443476586
"gdl_t";0
"glc_t";0
"g_t";0
"D_LACt2";0
"H2O_t";-0.00364560972195704
"hb_t";0
"i_t";0.00012888000003386
"ins_t";0
"ins4p_t";0
"lald__D_t";0
"L-args_t";0
"L-cit_t";0
"lpc_t";0
"malcoa_t";0
"maldex_t";0
"mmet_t";-0.00012888000003386
"no_t";0
"O2_t";0.405309374740682
"r1p_t";0
"rib-D_t";0
"sucr_t";0.0356451543641469
"Tre_t";0
"urd_t";0
"urea_t";0
"akg_tm";-0.171039651803653
"CO2_tm";-0.221623708710354
"succ_tm";0.196331680257003
"succoa_tm";0.196331680257003
"accoa_tm";0.196331680257003
"accoa_t";0
"adp_tm";0
"atp_tm";0
"fic3_tm";-0.0505840569067004
"foc3_tm";0.0505840569067004
"fum_tm";0.196460560257037
"H_tm";-35.1003583018036
"H2O_tm";0.317496688402571
"mal_tm";-0.0254209084533841
"nadh_tm";0
"nad_tm";0
"nadp_tm";0.417955388967357
"nadph_tm";-0.417955388967357
"O2_tm";0.0126460142266751
"pi_tm";-0.19148819938448
"ppi_tm";0.0957440996922969
"pyr_tm";0
"q_tm";0
"qh2_tm";0
"FAAA";0.196331680256987
"HGO";0.196331680256987
"HPPD";0.196331680256987
"MAAI";0.196331680256987
"AACCOAT";0.196331680257003
